Дата;Цена
01.03.2019;96.42
28.02.2019;94.00
27.02.2019;95.04
26.02.2019;93.91
25.02.2019;94.75
22.02.2019;95.53
21.02.2019;95.35
20.02.2019;98.78
19.02.2019;99.71
15.02.2019;100.25
14.02.2019;96.96
13.02.2019;96.75
12.02.2019;95.63
11.02.2019;94.21
08.02.2019;92.50
07.02.2019;92.99
06.02.2019;96.18
05.02.2019;98.35
04.02.2019;99.38
01.02.2019;98.85
31.01.2019;99.20
30.01.2019;99.45
29.01.2019;98.87
28.01.2019;98.10
25.01.2019;99.10
24.01.2019;97.24
23.01.2019;96.57
22.01.2019;96.86
18.01.2019;101.05
17.01.2019;99.05
16.01.2019;98.67
15.01.2019;98.59
14.01.2019;98.51
11.01.2019;96.87
10.01.2019;99.12
09.01.2019;99.19
08.01.2019;95.52
07.01.2019;94.51
04.01.2019;93.92
03.01.2019;89.97
02.01.2019;90.61
31.12.2018;87.21
28.12.2018;87.52
27.12.2018;88.79
26.12.2018;88.99
24.12.2018;82.86
21.12.2018;87.26
20.12.2018;89.74
19.12.2018;92.98
18.12.2018;94.01
17.12.2018;96.21
14.12.2018;100.08
13.12.2018;102.83
12.12.2018;103.93
11.12.2018;102.07
10.12.2018;101.71
07.12.2018;103.61
06.12.2018;102.13
04.12.2018;104.07
03.12.2018;108.11
30.11.2018;103.31
29.11.2018;105.47
28.11.2018;103.77
27.11.2018;101.95
26.11.2018;102.54
23.11.2018;100.70
21.11.2018;106.00
20.11.2018;102.36
19.11.2018;105.71
16.11.2018;105.20
15.11.2018;101.59
14.11.2018;98.07
13.11.2018;98.52
12.11.2018;101.25
09.11.2018;105.51
08.11.2018;104.85
07.11.2018;109.15
06.11.2018;107.33
05.11.2018;106.35
02.11.2018;102.35
01.11.2018;106.89
31.10.2018;105.34
30.10.2018;105.51
29.10.2018;102.04
26.10.2018;106.56
25.10.2018;107.12
24.10.2018;106.14
23.10.2018;111.12
22.10.2018;116.25
19.10.2018;117.67
18.10.2018;118.55
17.10.2018;120.14
16.10.2018;122.26
15.10.2018;122.57
12.10.2018;122.18
11.10.2018;121.62
10.10.2018;126.47
09.10.2018;132.35
08.10.2018;129.83
05.10.2018;131.05
04.10.2018;130.23
03.10.2018;130.38
02.10.2018;130.00
01.10.2018;129.49
28.09.2018;127.57
27.09.2018;127.00
26.09.2018;125.31
25.09.2018;125.64
24.09.2018;123.99
21.09.2018;119.46
20.09.2018;119.21
19.09.2018;120.17
18.09.2018;119.45
17.09.2018;117.54
14.09.2018;117.82
13.09.2018;116.62
12.09.2018;116.94
11.09.2018;116.22
10.09.2018;114.32
07.09.2018;114.47
06.09.2018;115.50
05.09.2018;117.89
04.09.2018;117.68
31.08.2018;118.23
30.08.2018;118.91
29.08.2018;118.78
28.08.2018;117.97
27.08.2018;118.65
24.08.2018;117.46
23.08.2018;116.40
22.08.2018;117.32
21.08.2018;115.49
20.08.2018;114.77
17.08.2018;114.77
16.08.2018;115.91
15.08.2018;115.44
14.08.2018;123.07
13.08.2018;121.50
10.08.2018;122.77
09.08.2018;122.31
08.08.2018;122.77
07.08.2018;124.43
06.08.2018;123.90
03.08.2018;122.41
02.08.2018;125.93
01.08.2018;125.57
31.07.2018;128.94
30.07.2018;129.90
27.07.2018;129.15
26.07.2018;128.86
25.07.2018;128.38
24.07.2018;125.62
23.07.2018;122.86
20.07.2018;122.35
19.07.2018;122.39
18.07.2018;123.58
17.07.2018;124.32
16.07.2018;124.61
13.07.2018;125.96
12.07.2018;124.14
11.07.2018;124.66
10.07.2018;126.97
09.07.2018;126.13
06.07.2018;124.35
05.07.2018;123.22
03.07.2018;122.43
02.07.2018;122.40
29.06.2018;124.43
28.06.2018;123.50
27.06.2018;123.93
26.06.2018;119.68
25.06.2018;116.83
22.06.2018;118.51
21.06.2018;116.60
20.06.2018;119.43
19.06.2018;117.08
18.06.2018;116.62
15.06.2018;114.18
14.06.2018;117.53
13.06.2018;118.25
12.06.2018;118.47
11.06.2018;118.01
08.06.2018;117.67
07.06.2018;117.93
06.06.2018;116.14
05.06.2018;116.58
04.06.2018;118.67
01.06.2018;118.35
31.05.2018;117.81
30.05.2018;119.76
29.05.2018;116.21
25.05.2018;117.76
24.05.2018;119.98
23.05.2018;122.98
22.05.2018;123.76
21.05.2018;127.45
18.05.2018;125.79
17.05.2018;126.15
16.05.2018;121.50
15.05.2018;120.23
14.05.2018;118.68
11.05.2018;117.41
10.05.2018;118.95
09.05.2018;117.79
08.05.2018;115.29
07.05.2018;113.89
04.05.2018;114.66
03.05.2018;116.01
02.05.2018;116.65
01.05.2018;117.56
30.04.2018;118.17
27.04.2018;116.79
26.04.2018;117.62
25.04.2018;115.40
24.04.2018;114.59
23.04.2018;114.84
20.04.2018;113.97
19.04.2018;114.04
18.04.2018;112.85
17.04.2018;111.15
16.04.2018;111.02
13.04.2018;111.02
12.04.2018;109.98
11.04.2018;109.40
10.04.2018;107.66
09.04.2018;103.38
06.04.2018;101.93
05.04.2018;104.38
04.04.2018;104.17
03.04.2018;105.07
02.04.2018;102.93
29.03.2018;105.27
28.03.2018;103.82
27.03.2018;106.33
26.03.2018;107.57
23.03.2018;105.86
22.03.2018;104.29
21.03.2018;104.78
20.03.2018;101.33
19.03.2018;98.47
16.03.2018;100.45
15.03.2018;98.65
14.03.2018;99.89
13.03.2018;100.05
12.03.2018;100.65
09.03.2018;102.80
08.03.2018;100.59
07.03.2018;100.87
06.03.2018;101.01
05.03.2018;101.81
02.03.2018;101.45
01.03.2018;101.18
28.02.2018;101.42
27.02.2018;106.94
26.02.2018;109.49
23.02.2018;108.83
22.02.2018;107.09
21.02.2018;105.81
20.02.2018;107.96
16.02.2018;107.64
15.02.2018;107.69
14.02.2018;106.76
13.02.2018;102.47
12.02.2018;103.14
09.02.2018;100.07
08.02.2018;101.04
07.02.2018;105.78
06.02.2018;108.27
05.02.2018;109.56
02.02.2018;112.83
01.02.2018;116.52
31.01.2018;115.00
30.01.2018;115.17
29.01.2018;116.58
26.01.2018;117.76
25.01.2018;117.45
24.01.2018;118.47
23.01.2018;117.84
22.01.2018;116.82
19.01.2018;114.37
18.01.2018;114.24
17.01.2018;113.53
16.01.2018;113.39
12.01.2018;115.70
11.01.2018;115.14
10.01.2018;112.01
09.01.2018;111.71
08.01.2018;112.71
05.01.2018;112.17
04.01.2018;110.95
03.01.2018;110.93
02.01.2018;109.30
29.12.2017;107.91
28.12.2017;108.45
27.12.2017;108.36
26.12.2017;109.41
22.12.2017;107.11
21.12.2017;106.35
20.12.2017;103.54
19.12.2017;101.43
18.12.2017;99.91
15.12.2017;98.55
14.12.2017;99.64
13.12.2017;99.94
12.12.2017;100.28
11.12.2017;101.21
08.12.2017;100.39
07.12.2017;99.72
06.12.2017;98.86
05.12.2017;100.90
04.12.2017;101.05
01.12.2017;102.91
30.11.2017;102.32
29.11.2017;100.50
28.11.2017;99.84
27.11.2017;99.82
24.11.2017;101.66
22.11.2017;101.59
21.11.2017;101.66
20.11.2017;101.44
17.11.2017;101.64
16.11.2017;101.43
15.11.2017;101.36
14.11.2017;102.47
13.11.2017;104.46
10.11.2017;104.58
09.11.2017;104.78
08.11.2017;104.33
07.11.2017;106.09
06.11.2017;106.96
03.11.2017;104.50
02.11.2017;102.95
01.11.2017;102.29
31.10.2017;99.87
30.10.2017;99.53
27.10.2017;98.47
26.10.2017;96.92
25.10.2017;96.15
24.10.2017;96.48
23.10.2017;96.97
20.10.2017;96.84
19.10.2017;95.76
18.10.2017;96.66
17.10.2017;97.45
16.10.2017;97.21
13.10.2017;96.62
12.10.2017;96.65
11.10.2017;96.93
10.10.2017;96.78
09.10.2017;96.50
06.10.2017;96.19
